examLevelId	word
HSK2	爱
HSK2	八
HSK2	爸
HSK2	百
HSK2	半
HSK2	比
HSK2	边
HSK2	不
HSK2	茶
HSK2	打
HSK2	大
HSK2	地
HSK2	的
HSK2	点
HSK2	对
HSK2	多
HSK2	儿
HSK2	二
HSK2	分
HSK2	哥
HSK2	个
HSK2	工
HSK2	口
HSK2	国
HSK2	过
HSK2	还
HSK2	汉
HSK2	好
HSK2	和
HSK2	很
HSK2	后
HSK2	会
HSK2	几
HSK2	家
HSK2	间
HSK2	叫
HSK2	姐
HSK2	今
HSK2	男
HSK2	九
HSK2	可
HSK2	来
HSK2	了
HSK2	两
HSK2	六
HSK2	妈
HSK2	吗
HSK2	么
HSK2	没
HSK2	们
HSK2	名
HSK2	那
HSK2	你
HSK2	年
HSK2	七
HSK2	去
HSK2	人
HSK2	日
HSK2	三
HSK2	少
HSK2	上
HSK2	什
HSK2	生
HSK2	十
HSK2	时
HSK2	是
HSK2	书
HSK2	说
HSK2	四
HSK2	岁
HSK2	他
HSK2	她
HSK2	天
HSK2	同
HSK2	为
HSK2	文
HSK2	我
HSK2	五
HSK2	午
HSK2	习
HSK2	下
HSK2	小
HSK2	现
HSK2	写
HSK2	学
HSK2	要
HSK2	也
HSK2	一
HSK2	以
HSK2	有
HSK2	语
HSK2	月
HSK2	在
HSK2	长
HSK2	这
HSK2	中
HSK2	子
HSK2	女
HSK2	字
HSK2	作
HSK3	安
HSK3	把
HSK3	般
HSK3	板
HSK3	办
HSK3	饱
HSK3	报
HSK3	北
HSK3	被
HSK3	必
HSK3	变
HSK3	冰
HSK3	才
HSK3	参
HSK3	草
HSK3	层
HSK3	查
HSK3	差
HSK3	成
HSK3	城
HSK3	除
HSK3	处
HSK3	春
HSK3	答
HSK3	带
HSK3	单
HSK3	当
HSK3	灯
HSK3	典
HSK3	调
HSK3	定
HSK3	丢
HSK3	冬
HSK3	段
HSK3	而
HSK3	耳
HSK3	发
HSK3	法
HSK3	方
HSK3	放
HSK3	风
HSK3	复
HSK3	该
HSK3	干
HSK3	刚
HSK3	更
HSK3	共
HSK3	故
HSK3	瓜
HSK3	海
HSK3	合
HSK3	河
HSK3	护
HSK3	化
HSK3	换
HSK3	活
HSK3	或
HSK3	级
HSK3	急
HSK3	加
HSK3	假
HSK3	讲
HSK3	角
HSK3	饺
HSK3	节
HSK3	结
HSK3	借
HSK3	斤
HSK3	净
HSK3	久
HSK3	句
HSK3	卡
HSK3	渴
HSK3	刻
HSK3	空
HSK3	哭
HSK3	礼
HSK3	李
HSK3	力
HSK3	练
HSK3	凉
HSK3	马
HSK3	毛
HSK3	目
HSK3	南
HSK3	难
HSK3	努
HSK3	怕
HSK3	胖
HSK3	片
HSK3	平
HSK3	瓶
HSK3	其
HSK3	汽
HSK3	且
HSK3	轻
HSK3	秋
HSK3	求
HSK3	区
HSK3	全
HSK3	如
HSK3	伞
HSK3	山
HSK3	勺
HSK3	声
HSK3	实
HSK3	适
HSK3	收
HSK3	受
HSK3	树
HSK3	特
HSK3	挺
HSK3	图
HSK3	闻
HSK3	务
HSK3	物
HSK3	夏
HSK3	相
HSK3	香
HSK3	响
HSK3	向
HSK3	心
HSK3	信
HSK3	行
HSK3	须
HSK3	选
HSK3	牙
HSK3	言
HSK3	羊
HSK3	阳
HSK3	养
HSK3	业
HSK3	页
HSK3	音
HSK3	饮
HSK3	应
HSK3	用
HSK3	又
HSK3	于
HSK3	育
HSK3	咱
HSK3	张
HSK3	者
HSK3	直
HSK3	纸
HSK3	种
HSK3	重
HSK3	主
HSK3	助
HSK3	总
HSK4	巴
HSK4	保
HSK4	抱
HSK4	背
HSK4	标
HSK4	并
HSK4	部
HSK4	餐
HSK4	产
HSK4	厂
HSK4	晨
HSK4	程
HSK4	吹
HSK4	此
HSK4	村
HSK4	达
HSK4	刀
HSK4	导
HSK4	倒
HSK4	低
HSK4	掉
HSK4	度
HSK4	断
HSK4	队
HSK4	烦
HSK4	反
HSK4	份
HSK4	否
HSK4	父
HSK4	改
HSK4	敢
HSK4	各
HSK4	够
HSK4	挂
HSK4	观
HSK4	管
HSK4	广
HSK4	喊
HSK4	忽
HSK4	虎
HSK4	划
HSK4	基
HSK4	及
HSK4	计
HSK4	技
HSK4	际
HSK4	济
HSK4	寄
HSK4	建
HSK4	江
HSK4	将
HSK4	金
HSK4	京
HSK4	究
HSK4	举
HSK4	科
HSK4	克
HSK4	况
HSK4	困
HSK4	拉
HSK4	利
HSK4	例
HSK4	俩
HSK4	连
HSK4	联
HSK4	量
HSK4	另
HSK4	流
HSK4	论
HSK4	麻
HSK4	美
HSK4	民
HSK4	内
HSK4	农
HSK4	弄
HSK4	排
HSK4	牌
HSK4	篇
HSK4	品
HSK4	普
HSK4	强
HSK4	青
HSK4	取
HSK4	确
HSK4	任
HSK4	扔
HSK4	入
HSK4	社
HSK4	深
HSK4	省
HSK4	食
HSK4	使
HSK4	示
HSK4	式
HSK4	输
HSK4	熟
HSK4	术
HSK4	顺
HSK4	随
HSK4	台
HSK4	态
HSK4	谈
HSK4	汤
HSK4	堂
HSK4	讨
HSK4	套
HSK4	庭
HSK4	停
HSK4	通
HSK4	痛
HSK4	土
HSK4	推
HSK4	味
HSK4	温
HSK4	无
HSK4	误
HSK4	线
HSK4	象
HSK4	性
HSK4	兄
HSK4	许
HSK4	血
HSK4	压
HSK4	亚
HSK4	研
HSK4	验
HSK4	夜
HSK4	印
HSK4	永
HSK4	由
HSK4	油
HSK4	与
HSK4	原
HSK4	约
HSK4	云
HSK4	增
HSK4	章
HSK4	之
HSK4	支
HSK4	止
HSK4	指
HSK4	至
HSK4	志
HSK4	众
HSK4	专
HSK4	转
HSK4	装
HSK4	资
HSK4	组
HSK4	座
HSK5	版
HSK5	扮
HSK5	伴
HSK5	宝
HSK5	贝
HSK5	币
HSK5	闭
HSK5	补
HSK5	布
HSK5	采
HSK5	册
HSK5	测
HSK5	叉
HSK5	吵
HSK5	沉
HSK5	称
HSK5	承
HSK5	尺
HSK5	冲
HSK5	充
HSK5	虫
HSK5	抽
HSK5	丑
HSK5	臭
HSK5	传
HSK5	创
HSK5	代
HSK5	胆
HSK5	旦
HSK5	挡
HSK5	敌
HSK5	冻
HSK5	斗
HSK5	豆
HSK5	独
HSK5	吨
HSK5	范
HSK5	防
HSK5	访
HSK5	疯
HSK5	佛
HSK5	府
HSK5	妇
HSK5	搞
HSK5	贡
HSK5	构
HSK5	古
HSK5	柜
HSK5	哈
HSK5	含
HSK5	胡
HSK5	湖
HSK5	华
HSK5	挥
HSK5	挤
HSK5	甲
HSK5	架
HSK5	艰
HSK5	局
HSK5	巨
HSK5	军
HSK5	均
HSK5	靠
HSK5	宽
HSK5	亏
HSK5	括
HSK5	劳
HSK5	泪
HSK5	类
HSK5	立
HSK5	良
HSK5	疗
HSK5	烈
HSK5	领
HSK5	令
HSK5	龙
HSK5	陆
HSK5	录
HSK5	骂
HSK5	秘
HSK5	某
HSK5	念
HSK5	派
HSK5	配
HSK5	盆
HSK5	碰
HSK5	匹
HSK5	拼
HSK5	齐
HSK5	欠
HSK5	曲
HSK5	权
HSK5	劝
HSK5	忍
HSK5	晒
HSK5	舍
HSK5	设
HSK5	神
HSK5	升
HSK5	胜
HSK5	诗
HSK5	石
HSK5	似
HSK5	势
HSK5	守
HSK5	私
HSK5	素
HSK5	宿
HSK5	挑
HSK5	团
HSK5	退
HSK5	拖
HSK5	伟
HSK5	未
HSK5	胃
HSK5	武
HSK5	夕
HSK5	析
HSK5	席
HSK5	闲
HSK5	显
HSK5	县
HSK5	形
HSK5	宣
HSK5	寻
HSK5	训
HSK5	咬
HSK5	依
HSK5	乙
HSK5	亿
HSK5	义
HSK5	益
HSK5	映
HSK5	余
HSK5	玉
HSK5	圆
HSK5	载
HSK5	造
HSK5	占
HSK5	召
HSK5	政
HSK5	织
HSK5	制
HSK5	治
HSK5	致
HSK5	猪
HSK5	竹
HSK5	抓
HSK5	状
HSK5	追
HSK6	岸
HSK6	昂
HSK6	拔
HSK6	摆
HSK6	悲
HSK6	奔
HSK6	编
HSK6	兵
HSK6	财
HSK6	仓
HSK6	侧
HSK6	策
HSK6	肠
HSK6	畅
HSK6	抄
HSK6	臣
HSK6	尘
HSK6	呈
HSK6	愁
HSK6	串
HSK6	闯
HSK6	纯
HSK6	匆
HSK6	寸
HSK6	呆
HSK6	诞
HSK6	岛
HSK6	德
HSK6	抵
HSK6	吊
HSK6	顶
HSK6	夺
HSK6	恶
HSK6	帆
HSK6	凡
HSK6	犯
HSK6	妨
HSK6	肺
HSK6	氛
HSK6	奉
HSK6	辅
HSK6	肝
HSK6	岗
HSK6	攻
HSK6	巩
HSK6	孤
HSK6	股
HSK6	骨
HSK6	拐
HSK6	官
HSK6	贯
HSK6	归
HSK6	龟
HSK6	轨
